date,1,2,3,4,5,meta
2022-08-26,trump,affidavit,documents,biden,lago,Fbi Trump Raid
2022-08-27,trump,debt,student,documents,biden,Student Debt
2022-08-28,trump,biden,debt,house,white,Student Debt
2022-08-29,trump,biden,election,president,student,Student Debt
2022-08-30,trump,biden,gorbachev,president,doj,Fbi Trump Raid
2022-08-31,trump,documents,doj,classified,biden,Fbi Trump Raid
2022-09-01,trump,biden,president,school,republicans,US Politics
2022-09-02,trump,biden,speech,democracy,president,US Politics
2022-09-03,trump,biden,state,speech,president,US Politics
2022-09-04,trump,biden,election,president,democracy,US Politics
2022-09-05,trump,judge,biden,labor,truss,Abortion
2022-09-06,trump,biden,house,election,state,US Politics
2022-09-07,trump,obama,house,biden,white,US Politics
2022-09-08,queen,elizabeth,trump,ii,biden,UK Politics
2022-09-09,trump,queen,biden,king,state,UK Politics
2022-09-10,Ukraine,russian,queen,russia,king,Ukraine
2022-09-11,11,state,Ukraine,russian,queen,Ukraine
2022-09-12,trump,biden,Ukraine,russian,president,Ukraine
2022-09-13,inflation,trump,Abortion,twitter,biden,Economy
2022-09-14,trump,ap,biden,Abortion,house,Abortion
2022-09-15,trump,biden,migrants,desantis,president,US Politics
2022-09-16,trump,desantis,migrants,biden,vineyard,US Politics
2022-09-17,trump,migrants,state,men,desantis,US Politics
2022-09-18,biden,trump,queen,ap,veterans,US Politics
2022-09-19,trump,queen,biden,house,funeral,UK Politics
2022-09-20,trump,biden,house,president,russia,US Politics
2022-09-21,trump,putin,russia,biden,president,US Politics
2022-09-22,trump,jones,russia,house,putin,US Politics
2022-09-23,trump,house,tax,russia,Ukraine,US Politics
2022-09-24,trump,women,state,iran,party,US Politics
2022-09-25,trump,Ukraine,biden,women,russia,US Politics
2022-09-26,trump,state,biden,white,president,US Politics
2022-09-27,bill,trump,biden,senate,Ukraine,Economy
2022-09-28,trump,hurricane,ian,biden,florida,US Politics
2022-09-29,trump,biden,hurricane,florida,ian,US Politics
2022-09-30,putin,russia,Ukraine,biden,trump,Russia
2022-10-01,trump,putin,russia,Ukraine,biden,Russia
2022-10-02,trump,president,putin,russian,election,Russia
2022-10-03,trump,election,court,president,biden,US Politics
2022-10-04,trump,walker,twitter,court,Abortion,US Politics
2022-10-05,biden,trump,walker,gop,russia,US Politics
2022-10-06,biden,trump,marijuana,federal,president,US Politics
2022-10-07,biden,trump,walker,nuclear,state,US Politics
2022-10-08,trump,bridge,Ukraine,russia,putin,US Politics
2022-10-09,trump,war,spawnofkahn,russia,state,Ukraine
2022-10-10,Ukraine,russia,trump,biden,war,Ukraine
2022-10-11,biden,trump,Ukraine,putin,president,US Politics
2022-10-12,trump,biden,jones,russia,alex,US Politics
2022-10-13,trump,committee,jan,election,president,Jan 6
2022-10-14,trump,truss,walker,election,president,UK Politics
2022-10-15,trump,party,biden,covid,state,China
2022-10-16,trump,election,american,truss,biden,US Politics
2022-10-17,trump,biden,truss,election,president,US Politics
2022-10-18,trump,biden,state,house,gop,US Politics
2022-10-19,trump,biden,Ukraine,pence,state,US Politics
2022-10-20,truss,liz,biden,trump,prime,UK Politics
2022-10-21,trump,biden,bannon,election,gop,US Politics
2022-10-22,party,xi,voters,white,state,China
2022-10-23,trump,party,election,voters,johnson,China
2022-10-24,trump,sunak,biden,state,election,UK Politics
2022-10-25,fetterman,trump,election,biden,Ukraine,US Politics
2022-10-26,trump,election,fetterman,debate,state,US Politics
2022-10-27,twitter,trump,biden,election,putin,Twitter / Musk
2022-10-28,pelosi,twitter,paul,trump,musk,Pelosi
2022-10-29,pelosi,attack,election,obama,twitter,Pelosi
2022-10-30,twitter,musk,lula,election,bolsonaro,Twitter / Musk
2022-10-31,twitter,pelosi,halloween,action,trump,Twitter / Musk
2022-11-01,twitter,election,trump,pelosi,biden,Twitter / Musk
2022-11-02,biden,election,trump,twitter,democracy,US Politics
2022-11-03,twitter,election,trump,biden,democracy,Twitter / Musk
2022-11-04,twitter,trump,election,musk,gop,Twitter / Musk
2022-11-05,twitter,trump,biden,election,president,Twitter / Musk
2022-11-06,twitter,election,trump,gop,desantis,Twitter / Musk
2022-11-07,election,trump,twitter,gop,vote,US Politics
2022-11-08,election,house,wins,trump,ap,US Politics
2022-11-09,trump,election,biden,gop,house,US Politics
2022-11-10,trump,twitter,house,election,gop,Twitter / Musk
2022-11-11,trump,twitter,election,gop,house,Twitter / Musk
2022-11-12,senate,election,trump,democrats,gop,US Politics
2022-11-13,trump,election,gop,biden,house,US Politics
2022-11-14,trump,gop,biden,election,house,US Politics
2022-11-15,trump,president,biden,gop,house,US Politics
2022-11-16,trump,gop,house,republicans,senate,US Politics
2022-11-17,twitter,pelosi,house,trump,speaker,Pelosi
2022-11-18,twitter,trump,special,counsel,house,US Politics
2022-11-19,trump,twitter,musk,biden,president,Twitter / Musk
2022-11-20,trump,twitter,colorado,president,biden,Twitter / Musk
2022-11-21,trump,twitter,followed,biden,media,Twitter / Musk
2022-11-22,trump,twitter,house,court,biden,Twitter / Musk
2022-11-23,trump,twitter,thanksgiving,house,family,Twitter / Musk
2022-11-24,thanksgiving,twitter,family,thankful,pie,Twitter / Musk
2022-11-25,trump,fuentes,ha,twitter,white,US Politics
2022-11-26,trump,twitter,white,fuentes,state,Twitter / Musk
2022-11-27,china,trump,twitter,covid,protests,China
2022-11-28,trump,twitter,china,fuentes,white,Twitter / Musk
2022-11-29,trump,biden,twitter,senate,house,Twitter / Musk
2022-11-30,house,trump,china,twitter,biden,US Politics
2022-12-01,trump,biden,state,kanye,president,US Politics
2022-12-02,twitter,biden,trump,state,musk,Twitter / Musk
2022-12-03,twitter,trump,biden,musk,media,Twitter / Musk
2022-12-04,trump,twitter,biden,constitution,media,Twitter / Musk
2022-12-05,trump,twitter,constitution,biden,case,Twitter / Musk
2022-12-06,trump,warnock,walker,georgia,senate,US Politics
2022-12-07,trump,state,senate,biden,election,US Politics
2022-12-08,griner,twitter,biden,brittney,trump,Twitter / Musk
2022-12-09,sinema,twitter,trump,party,independent,Twitter / Musk
2022-12-10,twitter,morocco,trump,england,cup,Twitter / Musk
2022-12-11,twitter,elonmusk,trump,musk,biden,Twitter / Musk
2022-12-12,twitter,trump,musk,house,biden,Twitter / Musk
2022-12-13,twitter,house,biden,trump,Fried,Twitter / Musk
2022-12-14,twitter,house,biden,trump,state,Twitter / Musk
2022-12-15,twitter,trump,elon,journalist,house,Twitter / Musk
2022-12-16,twitter,trump,musk,journalist,ukraine,Twitter / Musk
2022-12-17,twitter,trump,musk,journalist,ukraine,Twitter / Musk
2022-12-18,twitter,trump,musk,journalist,ukraine,Twitter / Musk
2022-12-18,twitter,trump,musk,journalist,ukraine,Twitter / Musk


