2022-08-25,biden,trump,student,debt,covid
2022-08-26,trump,affidavit,documents,biden,lago
2022-08-27,trump,debt,student,documents,biden
2022-08-28,trump,biden,debt,house,white
2022-08-29,trump,biden,election,president,student
2022-08-30,trump,biden,gorbachev,president,doj
2022-08-31,trump,documents,doj,classified,biden
2022-09-01,trump,biden,president,school,republicans
2022-09-02,trump,biden,speech,democracy,president
2022-09-03,trump,biden,state,speech,president
2022-09-04,trump,biden,election,president,democracy
2022-09-05,trump,judge,biden,labor,truss
2022-09-06,trump,biden,house,election,state
2022-09-07,trump,obama,house,biden,white
2022-09-08,queen,elizabeth,trump,ii,biden
2022-09-09,trump,queen,biden,king,state
2022-09-10,ukraine,russian,queen,russia,king
2022-09-11,11,state,ukraine,russian,queen
2022-09-12,trump,biden,ukraine,russian,president
2022-09-13,inflation,trump,abortion,twitter,biden
2022-09-14,trump,ap,biden,abortion,house
2022-09-15,trump,biden,migrants,desantis,president
2022-09-16,trump,desantis,migrants,biden,vineyard
2022-09-17,trump,migrants,state,men,desantis
2022-09-18,biden,trump,queen,ap,veterans
2022-09-19,trump,queen,biden,house,funeral
2022-09-20,trump,biden,house,president,russia
2022-09-21,trump,putin,russia,biden,president
2022-09-22,trump,jones,russia,house,putin
2022-09-23,trump,house,tax,russia,ukraine
2022-09-24,trump,women,state,iran,party
2022-09-25,trump,ukraine,biden,women,russia
2022-09-26,trump,state,biden,white,president
2022-09-27,bill,trump,biden,senate,ukraine
2022-09-28,trump,hurricane,ian,biden,florida
2022-09-29,trump,biden,hurricane,florida,ian
2022-09-30,putin,russia,ukraine,biden,trump
2022-10-01,trump,putin,russia,ukraine,biden
2022-10-02,trump,president,putin,russian,election
2022-10-03,trump,election,court,president,biden
2022-10-04,trump,walker,twitter,court,abortion
2022-10-05,biden,trump,walker,gop,russia
2022-10-06,biden,trump,marijuana,federal,president
2022-10-07,biden,trump,walker,nuclear,state
2022-10-08,trump,bridge,ukraine,russia,putin
2022-10-09,trump,war,spawnofkahn,russia,state
2022-10-10,ukraine,russia,trump,biden,war
2022-10-11,biden,trump,ukraine,putin,president
2022-10-12,trump,biden,jones,russia,alex
2022-10-13,trump,committee,jan,election,president
2022-10-14,trump,truss,walker,election,president
2022-10-15,trump,party,biden,covid,state
2022-10-16,trump,election,american,truss,biden
2022-10-17,trump,biden,truss,election,president
2022-10-18,trump,biden,state,house,gop
2022-10-19,trump,biden,ukraine,pence,state
2022-10-20,truss,liz,biden,trump,prime
2022-10-21,trump,biden,bannon,election,gop
2022-10-22,party,xi,voters,white,state
2022-10-23,trump,party,election,voters,johnson
2022-10-24,trump,sunak,biden,state,election
2022-10-25,fetterman,trump,election,biden,ukraine
2022-10-26,trump,election,fetterman,debate,state
2022-10-27,twitter,trump,biden,election,putin
2022-10-28,pelosi,twitter,paul,trump,musk
2022-10-29,pelosi,attack,election,obama,twitter
2022-10-30,twitter,musk,lula,election,bolsonaro
2022-10-31,twitter,pelosi,halloween,action,trump
2022-11-01,twitter,election,trump,pelosi,biden
2022-11-02,biden,election,trump,twitter,democracy
2022-11-03,twitter,election,trump,biden,democracy
2022-11-04,twitter,trump,election,musk,gop
2022-11-05,twitter,trump,biden,election,president
2022-11-06,twitter,election,trump,gop,desantis
2022-11-07,election,trump,twitter,gop,vote
2022-11-08,election,house,wins,trump,ap
2022-11-09,trump,election,biden,gop,house
2022-11-10,trump,twitter,house,election,gop
2022-11-11,trump,twitter,election,gop,house
2022-11-12,senate,election,trump,democrats,gop
2022-11-13,trump,election,gop,biden,house
2022-11-14,trump,gop,biden,election,house
2022-11-15,trump,president,biden,gop,house
2022-11-16,trump,gop,house,republicans,senate
2022-11-17,twitter,pelosi,house,trump,speaker
2022-11-18,twitter,trump,special,counsel,house
2022-11-19,trump,twitter,musk,biden,president
2022-11-20,trump,twitter,colorado,president,biden
2022-11-21,trump,twitter,followed,biden,media
2022-11-22,trump,twitter,house,court,biden
2022-11-23,trump,twitter,thanksgiving,house,family
2022-11-24,thanksgiving,twitter,family,thankful,pie
2022-11-25,trump,fuentes,ha,twitter,white
2022-11-26,trump,twitter,white,fuentes,state
2022-11-27,china,trump,twitter,covid,protests
2022-11-28,trump,twitter,china,fuentes,white
2022-11-29,trump,biden,twitter,senate,house
2022-11-30,house,trump,china,twitter,biden
2022-12-01,trump,biden,state,kanye,president
2022-12-02,twitter,biden,trump,state,musk
2022-12-03,twitter,trump,biden,musk,media
2022-12-04,trump,twitter,biden,constitution,media
2022-12-05,trump,twitter,constitution,biden,case
2022-12-06,trump,warnock,walker,georgia,senate
2022-12-07,trump,state,senate,biden,election
2022-12-08,griner,twitter,biden,brittney,trump
2022-12-09,sinema,twitter,trump,party,independent
2022-12-10,twitter,morocco,trump,england,cup
2022-12-11,twitter,elonmusk,trump,musk,biden
2022-12-12,twitter,trump,musk,house,biden
2022-12-13,twitter,house,biden,trump,Fried
2022-12-14,twitter,house,biden,trump,state
2022-12-15,twitter,trump,elon,journalist,house
2022-12-16,twitter,trump,musk,journalist,ukraine
2022-12-17,twitter,trump,musk,journalist,ukraine
2022-12-18,twitter,trump,musk,journalist,ukraine
2022-12-18,twitter,trump,musk,journalist,ukraine


